_______________________________Simulator Results______________________________
Date:                        Wed Jul 14 19:33:43 CEST 2021

____________________________Simulator Configuration___________________________
Simulation Type:             Terminating
Project Name:                vehicle_ADVISE_model
Study Name:                  rangeStudy
Random Number Generator:     Mersenne Twister
Random Number Seed:          31415
Maximum Batches:             10000
Minimum Batches:             1000
Data Reporting Frequency:    1000
Display Update Frequency:    1000
BuildType:                   Optimize
Execution Architecture:      64-bit
Runname:                     Results
Output File:                 Results_output.txt
Results File:                Results_results
Jackknife Variance:          On
Processors Per Experiment:   1
Maximize Processor Usage:    false
Processors Selected for Simulation: 
        student-VirtualBox   amd64

_________________________________Experiment 3_________________________________
Start Time:                  Wed Jul 14 19:33:37 CEST 2021
Finish Time:                 Wed Jul 14 19:33:38 CEST 2021
Elapsed Running Time:        1.421
Total CPU Time:              0.148449
Batches Completed:           1000
Experiment Name:             Experiment 3
Global Variable Settings:    
        short                IDSsensitivity           0                      
        char                 attacker                 'I'                    
        short                codeObfuscation          0                      
        short                firewallSensitivity      0                      


_________________________________Mean Results_________________________________
Name                  Time               Mean                     Confidence Interval
handshakeProtocol     0.0               1.0000000000E00   +/-   0.0000000000E00 
handshakeProtocol     5.0               1.0000000000E00   +/-   0.0000000000E00 
handshakeProtocol     10.0              1.0000000000E00   +/-   0.0000000000E00 
handshakeProtocol     15.0              1.0000000000E00   +/-   0.0000000000E00 
handshakeProtocol     20.0              1.0000000000E00   +/-   0.0000000000E00 
handshakeProtocol     25.0              1.0000000000E00   +/-   0.0000000000E00 
handshakeProtocol     30.0              1.0000000000E00   +/-   0.0000000000E00 
handshakeProtocol     35.0              1.0000000000E00   +/-   0.0000000000E00 
handshakeProtocol     40.0              1.0000000000E00   +/-   0.0000000000E00 
handshakeProtocol     45.0              1.0000000000E00   +/-   0.0000000000E00 
handshakeProtocol     50.0              1.0000000000E00   +/-   0.0000000000E00 
handshakeProtocol     55.0              1.0000000000E00   +/-   0.0000000000E00 
handshakeProtocol     60.0              1.0000000000E00   +/-   0.0000000000E00 
handshakeProtocol     65.0              1.0000000000E00   +/-   0.0000000000E00 
handshakeProtocol     70.0              1.0000000000E00   +/-   0.0000000000E00 
handshakeProtocol     75.0              1.0000000000E00   +/-   0.0000000000E00 
handshakeProtocol     80.0              1.0000000000E00   +/-   0.0000000000E00 
handshakeProtocol     85.0              1.0000000000E00   +/-   0.0000000000E00 
handshakeProtocol     90.0              1.0000000000E00   +/-   0.0000000000E00 
handshakeProtocol     95.0              1.0000000000E00   +/-   0.0000000000E00 
handshakeProtocol     100.0             1.0000000000E00   +/-   0.0000000000E00 
handshakeProtocol     105.0             1.0000000000E00   +/-   0.0000000000E00 
handshakeProtocol     110.0             1.0000000000E00   +/-   0.0000000000E00 
handshakeProtocol     115.0             1.0000000000E00   +/-   0.0000000000E00 
